Id Categoria;Modalitat;Nom;Descripció;Nom Abreviat;Ordre;CodiExtern
976;SHOOT BALL;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
977;GOAL BALL;DELEGAT DE CAMP;Delegat de camp o pista, persona responsable de vetllar pel bon funcionament de totes les fases del joc. Volem que esdevingui un nexe d’unió entre els dos equips, les famílies i l’entitat. Ha de ser una figura de referència per al CEEB, per les entitats i per l’equip al qual representa.;;1;
978;GOAL BALL;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
979;KORFBAL;DELEGAT DE CAMP;Delegat de camp o pista, persona responsable de vetllar pel bon funcionament de totes les fases del joc. Volem que esdevingui un nexe d’unió entre els dos equips, les famílies i l’entitat. Ha de ser una figura de referència per al CEEB, per les entitats i per l’equip al qual representa.;;1;
980;KORFBAL;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
981;ESPORTS SENSE BARRERES (Futbol 5);TÈCNIC;Tècnic dels Jocs Esportius del Ceeb (JEC). Persona de màxima responsabilitat de l’equip o grup d’esportistes que participen als JEC en una modalitat esportiva. Titulacions requerides: Estar inscrit a ROPEC com a monitor esportiu + Càpsula Esportiva Especifica (TEE). /o/ Estar inscrit a ROPEC com a Entrenador de la modalitat Esportiva.;;;TEC
983;ESPORTS SENSE BARRERES (Futbol 5);AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
985;LLIGUES D'INICIACIÓ DE BÀSQUET;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
987;LLIGUES D'INICIACIÓ DE FUTBOL 5;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
988;LLIGUES D'INICIACIÓ D'HOQUEI PATINS;DELEGAT DE CAMP;Delegat de camp o pista, persona responsable de vetllar pel bon funcionament de totes les fases del joc. Volem que esdevingui un nexe d’unió entre els dos equips, les famílies i l’entitat. Ha de ser una figura de referència per al CEEB, per les entitats i per l’equip al qual representa.;;1;
989;LLIGUES D'INICIACIÓ D'HOQUEI PATINS;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
991;ESPECIAL;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
993;TROBADA DE GIMNÀSTICA RÍTMICA;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
994;TROBADES DE FUTBOL 5;DELEGAT DE CAMP;Delegat de camp o pista, persona responsable de vetllar pel bon funcionament de totes les fases del joc. Volem que esdevingui un nexe d’unió entre els dos equips, les famílies i l’entitat. Ha de ser una figura de referència per al CEEB, per les entitats i per l’equip al qual representa.;;1;
995;TROBADES DE FUTBOL 5;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
996;BITLLES CATALANES;TÈCNIC;Tècnic dels Jocs Esportius del Ceeb (JEC). Persona de màxima responsabilitat de l’equip o grup d’esportistes que participen als JEC en una modalitat esportiva. Titulacions requerides: Estar inscrit a ROPEC com a monitor esportiu + Càpsula Esportiva Especifica (TEE). /o/ Estar inscrit a ROPEC com a Entrenador de la modalitat Esportiva.;;;TEC
997;BITLLES CATALANES;DELEGAT;Delegat d’equip/grup, persona responsable del bon comportament i del joc net dels esportistes i acompanyants. Titulacions requerides: Titulació vàlida del personal responsable de vetllar pels valors als JEC i realitzar les tasques administratives. Recomanable que aquest col·lectiu també tinguin formació reconeguda com a Tutor Esportiu.;;;
998;BITLLES CATALANES;DELEGAT DE CAMP;Delegat de camp o pista, persona responsable de vetllar pel bon funcionament de totes les fases del joc. Volem que esdevingui un nexe d’unió entre els dos equips, les famílies i l’entitat. Ha de ser una figura de referència per al CEEB, per les entitats i per l’equip al qual representa.;;1;
999;BITLLES CATALANES;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1001;PLA CATALÀ ESPORT ESCOLA;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1003;LLIGUES D'INICIACIÓ DE FUTBOL 7;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1005;TROBADES DE BÀSQUET;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1009;TROBADA DE PATINATGE ARTÍSTIC;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1010;TROBADA DE TENNIS TAULA;DELEGAT DE CAMP;Delegat de camp o pista, persona responsable de vetllar pel bon funcionament de totes les fases del joc. Volem que esdevingui un nexe d’unió entre els dos equips, les famílies i l’entitat. Ha de ser una figura de referència per al CEEB, per les entitats i per l’equip al qual representa.;;1;
1011;TROBADA DE TENNIS TAULA;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1013;TROBADA DE GIMNÀSTICA ARTÍSTICA;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1014;FORMACIÓ;PERSONAL TÈCNIC;Formació de l'equip Tècnic dels Jocs Esportius Escolars del CEEB (JEEC). Persona de màxima responsabilitat de l’equip o grup d’esportistes que participen als JEEC en una modalitat esportiva.;;1;
1020;SKATE;INFANTIL;;;;
1021;SKATE;SÈNIOR;;;;
1022;SKATE;JUVENIL;;;;
1025;GIMNÀSTICA ESTÈTICA DE GRUP;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1026;WATERPOLO;TÈCNIC;Tècnic dels Jocs Esportius del Ceeb (JEC). Persona de màxima responsabilitat de l’equip o grup d’esportistes que participen als JEC en una modalitat esportiva. Titulacions requerides: Estar inscrit a ROPEC com a monitor esportiu + Càpsula Esportiva Especifica (TEE). /o/ Estar inscrit a ROPEC com a Entrenador de la modalitat Esportiva.;;;TEC
1027;WATERPOLO;DELEGAT;Delegat d’equip/grup, persona responsable del bon comportament i del joc net dels esportistes i acompanyants. Titulacions requerides: Titulació vàlida del personal responsable de vetllar pels valors als JEC i realitzar les tasques administratives. Recomanable que aquest col·lectiu també tinguin formació reconeguda com a Tutor Esportiu.;;;
1028;WATERPOLO;DELEGAT DE CAMP;Delegat de camp o pista, persona responsable de vetllar pel bon funcionament de totes les fases del joc. Volem que esdevingui un nexe d’unió entre els dos equips, les famílies i l’entitat. Ha de ser una figura de referència per al CEEB, per les entitats i per l’equip al qual representa.;;1;
1029;WATERPOLO;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1032;RUGBI;DELEGAT DE CAMP;Delegat de camp o pista, persona responsable de vetllar pel bon funcionament de totes les fases del joc. Volem que esdevingui un nexe d’unió entre els dos equips, les famílies i l’entitat. Ha de ser una figura de referència per al CEEB, per les entitats i per l’equip al qual representa.;;1;
1033;RUGBI;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1034;TROBADES DE VOLEIBOL;TÈCNIC;Tècnic dels Jocs Esportius del Ceeb (JEC). Persona de màxima responsabilitat de l’equip o grup d’esportistes que participen als JEC en una modalitat esportiva. Titulacions requerides: Estar inscrit a ROPEC com a monitor esportiu + Càpsula Esportiva Especifica (TEE). /o/ Estar inscrit a ROPEC com a Entrenador de la modalitat Esportiva.;;;TEC
